ID1;ID2;ID3;Flaschendruck_bar;Argon-Druck_bar;Kommentar;Datum;Analysis_No.;Ampl.44;Ampl.45;Ampl.46;offset_corr_sample;ppm;dilution ;diff.abs.;Tube_No.
031-45;31456;Ocotea leocoxylon ;0,451;1,067;Core CO2;06.08.18;137066;41;49;56;-26,92;68;1;0,53;1
059-45;34459;Ocotea leocoxylon ;0,464;1,084;Core CO2;06.08.18;137068;1369;1636;1944;-25,25;2736;1;0,12;2
045-45;34288;Ocotea leocoxylon ;0,453;1,124;Core CO2;06.08.18;137071;1560;1861;2217;-26,93;3153;1;0,05;3
044-45;34063;Ocotea leocoxylon ;0,461;1,086;Core CO2;06.08.18;137073;1597;1906;2266;-26,37;3227;1;0,11;4
006-45;25633;Dacryodes microcarpa;0,451;1,143;Core CO2;06.08.18;137077;2146;2556;3047;-28,64;4375;1;0,05;5
009-45;25211;Sacoglotis guianensis ;0,475;1,122;Core CO2;06.08.18;137079;1589;1895;2258;-27,09;3239;1;0,09;6
003-45;26220;Dacryodes microcarpa;0,468;1,108;Core CO2;06.08.18;137082;5995;7156;8506;-26,57;12290;1;0,03;7
033-45;31769;Sacoglotis guianensis ;0,599;1,088;Core CO2;06.08.18;137084;383;458;542;-25,42;770;1;0,09;8
027-45;1054;Sacoglotis guianensis ;0,461;1,031;Core CO2;06.08.18;137088;1390;1658;1968;-26,63;2762;1;0,10;9
041-45;25376;Sacoglotis guianensis ;0,458;1,169;Core CO2;06.08.18;137090;643;767;908;-26,47;1285;1;0,09;10
050-45;31492;Dacryodes microcarpa;0,458;1,075;Core CO2;06.08.18;137093;1899;2261;2688;-28,48;3835;1;0,03;11
025-45;27639;Sacoglotis guianensis ;0,432;1,054;Core CO2;06.08.18;137095;694;828;981;-26,82;1391;1;0,01;12
060-45;25624;Dacryodes microcarpa;0,448;1,029;Core CO2;06.08.18;137099;1322;1577;1877;-25,97;2664;1;0,03;13
065-45;42589;Sacoglotis guianensis ;0,452;1,097;Core CO2;06.08.18;137101;225;269;317;-26,01;447;1;0,38;14
046-45;27638;Sacoglotis guianensis ;0,446;1,087;Core CO2;06.08.18;137104;429;513;607;-24,62;862;1;0,17;15
034-45;27200;Dacryodes microcarpa;0,449;1,076;Core CO2;06.08.18;137106;7151;8530;10153;-26,23;14386;1;0,01;16
036-45;32001;Dacryodes microcarpa;0,468;1,154;Core CO2;06.08.18;137110;1614;1923;2289;-27,18;3269;1;0,04;17
004-45;27640;Sacoglotis guianensis ;0,448;1,074;Core CO2;06.08.18;137112;694;830;981;-24,88;1413;1;0,09;18
039-45;27924;Dacryodes microcarpa;0,463;1,139;Core CO2;06.08.18;137115;3476;4140;4939;-27,10;7075;1;0,01;19
035-45;27803;Dacryodes microcarpa;0,614;1,060;Core CO2;06.08.18;137117;3502;4173;4970;-27,23;7108;1;0,05;20
066-45;29896;Dacryodes microcarpa;0,471;1,099;Core CO2;06.08.18;137121;3914;4666;5560;-26,61;7994;1;0,05;21
032-45;27944;Dacryodes microcarpa;0,444;1,070;Core CO2;06.08.18;137123;4326;5159;6113;-25,90;8832;1;0,07;22
010-45;40244;Sacoglotis guianensis ;0,473;1,126;Core CO2;06.08.18;137126;536;639;756;-25,64;1102;1;0,14;23
019-45;34446;Sacoglotis guianensis ;0,453;1,074;Core CO2;06.08.18;137128;372;444;525;-26,26;766;1;0,20;24
011-45;34338;Ocotea leocoxylon ;0,457;1,052;Core CO2;06.08.18;137132;505;603;716;-26,68;1033;1;0,06;25
070-45;31494;Sacoglotis guianensis ;0,457;1,053;Core CO2;06.08.18;137134;175;209;247;-25,33;362;1;0,24;26
064-45;37280;Ocotea leocoxylon ;0,441;1,069;Core CO2;06.08.18;137137;832;993;1174;-25,65;1708;1;0,07;27
040-45;31391;Ocotea leocoxylon ;0,457;1,100;Core CO2;06.08.18;137139;1233;1470;1748;-27,01;2527;1;0,05;28
017-45;26820;Ocotea leocoxylon ;0,460;1,080;Core CO2;06.08.18;137143;740;883;1049;-26,78;1521;1;0,03;29
020-45;25030;Sacoglotis guianensis ;0,463;1,085;Core CO2;06.08.18;137145;790;940;1120;-28,71;1616;1;0,06;30
051-45;34441;Ocotea leocoxylon ;0,447;1,148;Core CO2;06.08.18;137148;776;927;1099;-24,96;1599;1;0,04;31
056-45;29900;Dacryodes microcarpa;0,456;1,090;Core CO2;06.08.18;137150;1866;2228;2651;-25,38;3838;1;0,17;32
012-45;34444;Ocotea leocoxylon ;0,472;1,080;Core CO2;06.08.18;137154;595;710;843;-25,61;1231;1;0,00;33
026-45;37967;Dacryodes microcarpa;0,447;1,046;Core CO2;06.08.18;137156;707;841;1002;-29,36;1467;1;0,13;34
016-45;26862;Ocotea leocoxylon ;0,462;1,149;Core CO2;06.08.18;137159;258;307;365;-29,54;543;1;0,10;35
057-45;5327;Ocotea leocoxylon ;0,458;1,099;Core CO2;06.08.18;137161;291;347;411;-27,14;604;1;0,27;36
053-45;31506;Ocotea leocoxylon ;0,456;1,060;Core CO2;06.08.18;137165;550;655;779;-28,29;1132;1;0,14;37
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
