TreeID;FlaskID;13C;ppmCO2;ID_sp;month;Date
27924;226-115;-26,92;19858;D.mic;May;2019-05-01
27924;226-115;-26,76;19430;D.mic;May;2019-05-01
32001;439-115;-26,41;14286;D.mic;May;2019-05-01
32001;439-115;-26,36;14363;D.mic;May;2019-05-01
37967;230-115;-27,91;7043;D.mic;May;2019-05-01
37967;230-115;-27,85;7079;D.mic;May;2019-05-01
31492;236-115;-28,35;9709;D.mic;May;2019-05-01
31492;236-115;-28,31;9746;D.mic;May;2019-05-01
25633;290-115;-27,36;11456;D.mic;May;2019-05-01
25633;290-115;-27,40;11496;D.mic;May;2019-05-01
29900;014-115;-26,18;18403;D.mic;May;2019-05-01
29900;014-115;-26,06;18392;D.mic;May;2019-05-01
29896;053-115;-27,48;18483;D.mic;May;2019-05-01
29896;053-115;-27,37;18564;D.mic;May;2019-05-01
26220;261-115;-26,08;22271;D.mic;May;2019-05-01
26220;261-115;-26,04;22298;D.mic;May;2019-05-01
34459;007-115;-26,04;4643;O.leu;May;2019-05-01
34459;007-115;-26,29;4666;O.leu;May;2019-05-01
31456;010-115;-26,40;5888;O.leu;May;2019-05-01
31456;010-115;-26,22;5749;O.leu;May;2019-05-01
31391;016-115;-26,59;4981;O.leu;May;2019-05-01
31391;016-115;-26,68;5002;O.leu;May;2019-05-01
5327;126-115;-25,95;4078;O.leu;May;2019-05-01
5327;126-115;-25,93;4069;O.leu;May;2019-05-01
26820;368-115;-27,50;5699;O.leu;May;2019-05-01
26820;368-115;-27,44;5702;O.leu;May;2019-05-01
34288;156-115;-25,57;4863;O.leu;May;2019-05-01
34288;156-115;-25,67;4899;O.leu;May;2019-05-01
34063;012-115;-25,75;5295;O.leu;May;2019-05-01
34063;012-115;-25,66;5133;O.leu;May;2019-05-01
26862;037-115;-26,53;5959;O.leu;May;2019-05-01
26862;037-115;-26,47;5974;O.leu;May;2019-05-01
34441;267-115;-25,62;6466;O.leu;May;2019-05-01
34441;267-115;-25,59;6398;O.leu;May;2019-05-01
34446;407-115;-28,50;3900;S.gui;May;2019-05-01
34446;407-115;-28,60;3907;S.gui;May;2019-05-01
27638;264-115;-26,08;3888;S.gui;May;2019-05-01
27638;264-115;-25,98;3855;S.gui;May;2019-05-01
25211;330-115;-27,79;5065;S.gui;May;2019-05-01
25211;330-115;-27,79;5002;S.gui;May;2019-05-01
27640;125-115;-27,11;3721;S.gui;May;2019-05-01
27640;125-115;-27,23;3748;S.gui;May;2019-05-01
25030;159-115;-28,87;4659;S.gui;May;2019-05-01
25030;159-115;-28,78;4679;S.gui;May;2019-05-01
31494;029-115;-28,06;3169;S.gui;May;2019-05-01
31494;029-115;-28,25;3172;S.gui;May;2019-05-01
25376;327-115;-28,88;4222;S.gui;May;2019-05-01
25376;327-115;-28,80;4240;S.gui;May;2019-05-01
